Symbol,Name,Market Cap,Sector,Industry,Beta,Price,Dividend,Volume,Exchange,Exchange Code,Country,isFund
SPAN,1922,,,,,,0.0,0,NASDAQ,NASDAQ,,True
SHLM,"A. Schulman, Inc.",,,,,,0.0,0,NASDAQ,NASDAQ,,True
NMRX,5294,,,,,,0.0,0,NASDAQ,NASDAQ,,True
AAPL,Apple Inc.,3598354347000.0,Technology,Consumer Electronics,1.239,236.67,1.0,20934508,NASDAQ Global Select,NASDAQ,US,False
NVDA,NVIDIA Corporation,3489331175000.0,Technology,Semiconductors,1.669,142.2475,0.04,179410389,NASDAQ Global Select,NASDAQ,US,False
MSFT,Microsoft Corporation,3099747153312.0,Technology,Software - Infrastructure,0.896,417.0228,3.32,6966949,NASDAQ Global Select,NASDAQ,US,False
VSMPX,Vanguard Total Stock Mkt Idx Instl Pls,2233924321246.0,,,1.01,263.8,1.784,0,Nasdaq,NASDAQ,,True
GOOG,Alphabet Inc.,2029741571863.0,Communication Services,Internet Content & Information,1.038,165.78,0.8,6180952,NASDAQ Global Select,NASDAQ,US,False
GOOGL,Alphabet Inc.,2027361259231.0,Communication Services,Internet Content & Information,1.038,164.065,0.8,8252217,NASDAQ Global Select,NASDAQ,US,False
AMZN,"Amazon.com, Inc.",1980414764000.0,Consumer Cyclical,Specialty Retail,1.147,188.69,0.0,14462445,NASDAQ Global Select,NASDAQ,US,False
META,"Meta Platforms, Inc.",1450723322962.0,Communication Services,Internet Content & Information,1.216,573.45,2.0,5222942,NASDAQ Global Select,NASDAQ,US,False
VFIAX,Vanguard 500 Index Fd Admiral Shs,1277424697298.0,,,1.0,541.49,5.1332,0,NASDAQ,NASDAQ,,True
VOO,Vanguard 500 Index Fund,1274001257672.0,Financial Services,Asset Management,1.0,535.9199,6.7661,2260464,New York Stock Exchange Arca,AMEX,US,True
VITSX,Vanguard Total Stock Market Index Fund,1190890045314.0,Financial Services,Asset Management,1.01,140.63,0.9520000000000001,0,NASDAQ,NASDAQ,US,True
VTSAX,Vanguard Total Stock Market Index Fund,1190720700415.0,Financial Services,Asset Management,1.01,140.61,0.9450000000000001,0,NASDAQ,NASDAQ,US,True
BRK-B,Berkshire Hathaway Inc.,998781888868.0,Financial Services,Insurance - Diversified,0.869,463.13,0.0,1427038,New York Stock Exchange,NYSE,US,False
BRK-A,Berkshire Hathaway Inc.,998103442655.0,Financial Services,Insurance - Diversified,0.869,695517.75,0.0,1528,New York Stock Exchange,NYSE,US,False
TSM,Taiwan Semiconductor Manufacturing Company Limited,881175214788.0,Technology,Semiconductors,1.268,201.8,2.47,10862388,New York Stock Exchange,NYSE,TW,False
LLY,Eli Lilly and Company,863822232454.0,Healthcare,Drug Manufacturers - General,0.41600000000000004,908.879,5.2,746752,New York Stock Exchange,NYSE,US,False
AVGO,Broadcom Inc.,838369110000.0,Technology,Semiconductors,1.184,179.5,2.12,7205160,NASDAQ Global Select,NASDAQ,US,False
TSLA,"Tesla, Inc.",694169714880.0,Consumer Cyclical,Auto - Manufacturers,2.297,217.292,0.0,37561852,NASDAQ Global Select,NASDAQ,US,False
WMT,Walmart Inc.,650776720000.0,Consumer Defensive,Discount Stores,0.516,80.96,0.8300000000000001,3537754,New York Stock Exchange,NYSE,US,False
JPM,JPMorgan Chase & Co.,636094981844.0,Financial Services,Banks - Diversified,1.102,223.5709,5.0,2656627,New York Stock Exchange,NYSE,US,False
FXAIX,Fidelity 500 Index Fund,599394746296.0,Financial Services,Asset Management,1.0,203.77,1.88,0,NASDAQ,NASDAQ,US,True
VTI,Vanguard Total Stock Market Index Fund,596648079245.0,Financial Services,Asset Management,1.01,287.7187,3.7348,1677104,New York Stock Exchange Arca,AMEX,US,True
V,Visa Inc.,568409129005.0,Financial Services,Financial - Credit Services,0.961,287.67,2.08,2150867,New York Stock Exchange,NYSE,US,False
SPY,SPDR S&P 500 ETF Trust,535048595832.0,Financial Services,Asset Management,1.0,582.98,7.00556,20407972,New York Stock Exchange Arca,AMEX,US,False
XOM,Exxon Mobil Corporation,533806024500.0,Energy,Oil & Gas Integrated,0.877,120.15,3.8,4523315,New York Stock Exchange,NYSE,US,False
UNH,UnitedHealth Group Incorporated,529949590200.0,Healthcare,Medical - Healthcare Plans,0.593,573.9,8.4,1754547,New York Stock Exchange,NYSE,US,False
IVV,iShares Core S&P 500 ETF,517466616486.0,Financial Services,Asset Management,1.0,585.76,7.43637,1469008,New York Stock Exchange Arca,AMEX,US,False
NVO,Novo Nordisk A/S,515382393541.0,Healthcare,Biotechnology,0.148,117.425,1.45,2043202,New York Stock Exchange,NYSE,DK,False
ORCL,Oracle Corporation,481831912800.0,Technology,Software - Infrastructure,1.008,173.88,1.6,1745879,New York Stock Exchange,NYSE,US,False
MA,Mastercard Incorporated,473371226180.0,Financial Services,Financial - Credit Services,1.103,516.38,2.64,981249,New York Stock Exchange,NYSE,US,False
VTIAX,Vanguard Total International Stock Index Fd Admiral,463318679549.0,,,1.03,34.3,0.97,0,NASDAQ,NASDAQ,,True
VTPSX,Vanguard Total Intl Stock Idx InstlPls,463318679456.0,,,1.03,137.19,3.927,0,Nasdaq,NASDAQ,,True
VXUS,Vanguard Total Intl Stock Idx Fund,459043623949.0,Financial Services,Asset Management,1.03,63.1915,1.8264,1718293,NASDAQ Global Market,NASDAQ,US,True
HD,"The Home Depot, Inc.",402807925045.0,Consumer Cyclical,Home Improvement,1.008,405.5278,9.0,1779411,New York Stock Exchange,NYSE,US,False
PG,The Procter & Gamble Company,398111365300.0,Consumer Defensive,Household & Personal Products,0.40700000000000003,169.43,4.03,2618835,New York Stock Exchange,NYSE,US,False
COST,Costco Wholesale Corporation,393702308487.0,Consumer Defensive,Discount Stores,0.787,888.5701,4.64,521019,NASDAQ Global Select,NASDAQ,US,False
JNJ,Johnson & Johnson,393391160800.0,Healthcare,Drug Manufacturers - General,0.518,163.42,4.96,2954127,New York Stock Exchange,NYSE,US,False
VBTLX,Vanguard Total Bond Market Index Fund Admiral Shares,343379345399.0,Financial Services,Asset Management - Bonds,0.99,9.72,0.28500000000000003,0,NASDAQ,NASDAQ,US,True
VBMPX,Vanguard Total Bond Market Idx InstlPls,343379345399.0,Financial Services,Asset Management - Bonds,0.99,9.72,0.314,0,NASDAQ,NASDAQ,,True
VBMFX,Vanguard Total Bond Market Index Fund Investor Shares,343379345399.0,Financial Services,Asset Management - Bonds,0.99,9.72,0.275,0,NASDAQ,NASDAQ,,True
CHTEX.BR,Chevron Corporation,343087513388.0,Energy,Oil & Gas Integrated,1.164436,170.32,6.04,6,Brussels,EURONEXT,US,False
BND,Vanguard Total Bond Market Index Fund,341495201837.0,Financial Services,Asset Management - Bonds,0.99,73.405,2.5684,3386168,NASDAQ Global Market,NASDAQ,US,True
VMCPX,Vanguard Mid-Cap Index Fund Institutional Plus Shares,339695599596.0,Financial Services,Asset Management,1.04,364.69,3.07083,0,NASDAQ,NASDAQ,,True
ABBV,AbbVie Inc.,330420392100.0,Healthcare,Drug Manufacturers - General,0.618,187.065,6.2,2202391,New York Stock Exchange,NYSE,US,False
NFLX,"Netflix, Inc.",329512887000.0,Communication Services,Entertainment,1.2610000000000001,767.8,0.0,4485174,NASDAQ Global Select,NASDAQ,US,False
BAC,Bank of America Corporation,321698136800.0,Financial Services,Banks - Diversified,1.338,41.84,1.04,15115111,New York Stock Exchange,NYSE,US,False
VIMAX,Vanguard Mid-Cap Index Fund Admiral Shares,311807574000.0,Financial Services,Asset Management,1.04,334.75,2.6020000000000003,0,NASDAQ,NASDAQ,,True
VINIX,Vanguard Institutional Index Fund Institutional Shares,309798010754.0,Financial Services,Asset Management,1.0,482.87,3.232999999999999,0,NASDAQ,NASDAQ,US,True
VIIIX,Vanguard Institutional Index Fund,309798010751.0,Financial Services,Asset Management,1.0,482.86,3.264999999999999,0,NASDAQ,NASDAQ,US,True
VTBNX,Vanguard Total Bond Market II Idx I,307551764472.0,Financial Services,Asset Management - Bonds,0.99,9.59,0.316,0,Nasdaq,NASDAQ,,True
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",305221871578.0,Consumer Cyclical,Luxury Goods,0.963,611.0,13.0,343944,Paris,EURONEXT,FR,False
KO,The Coca-Cola Company,300225544200.0,Consumer Defensive,Beverages - Non-Alcoholic,0.608,69.66,1.94,7062704,New York Stock Exchange,NYSE,US,False
RGAGX,American Funds The Growth Fund of America Class R-6,281980108752.0,Financial Services,Asset Management,1.11,79.65,0.5650000000000001,0,NASDAQ,NASDAQ,,True
GAFFX,American Funds The Growth Fund of America Class F-3,281696894970.0,Financial Services,Asset Management,1.11,79.57,0.5650000000000001,0,NASDAQ,NASDAQ,,True
AGTHX,American Funds The Growth Fund of America Class A,281059655664.0,Financial Services,Asset Management,1.11,79.39,0.37,0,NASDAQ,NASDAQ,US,True
ASML,ASML Holding N.V.,280037173228.0,Technology,Semiconductors,1.052,711.7982,6.78,1676895,NASDAQ Global Select,NASDAQ,NL,False
GFAFX,The Growth Fund of America Class F-1 Shares,278510665695.0,Financial Services,Asset Management,1.11,78.67,0.34,0,NASDAQ,NASDAQ,,True
CRM,"Salesforce, Inc.",277794480000.0,Technology,Software - Application,1.3,290.58,1.6,1267693,New York Stock Exchange,NYSE,US,False
CGFAX,American Funds Growth Fund of Amer 529A,276457324498.0,,,1.11,78.09,0.35000000000000003,0,Nasdaq,NASDAQ,,True
CVX,Chevron Corporation,276075474000.0,Energy,Oil & Gas Integrated,1.079,150.95,6.52,2407008,New York Stock Exchange,NYSE,US,False
MRK,"Merck & Co., Inc.",271583599096.0,Healthcare,Drug Manufacturers - General,0.399,107.1416,3.08,4358772,New York Stock Exchange,NYSE,US,False
SAP,SAP SE,268026705000.0,Technology,Software - Application,0.921,229.77,2.39,746794,New York Stock Exchange,NYSE,DE,False
MRK.PA,"Merck & Co., Inc.",260608147402.0,Healthcare,Drug Manufacturers - General,0.355383,101.4,2.27,250,Paris,EURONEXT,US,False
TMUS,"T-Mobile US, Inc.",260407794300.0,Communication Services,Telecommunications Services,0.508,223.185,3.52,2603693,NASDAQ Global Select,NASDAQ,US,False
ASML.AS,ASML Holding N.V.,258714401237.0,Technology,Semiconductors,1.052,657.6,6.24,714227,Amsterdam,EURONEXT,NL,False
AMD,"Advanced Micro Devices, Inc.",253858588000.0,Technology,Semiconductors,1.695,156.85,0.0,17660922,NASDAQ Global Select,NASDAQ,US,False
RGABX,American Funds The Growth Fund of America Class R-2,252489908170.0,Financial Services,Asset Management,1.11,71.32,0.0,0,NASDAQ,NASDAQ,US,True
RGAAX,The Growth Fund of America Class R-1 Shares,248701845458.0,Financial Services,Asset Management,1.11,70.25,0.0,0,NASDAQ,NASDAQ,US,True
RY.TO,Royal Bank of Canada,243533890000.0,Financial Services,Banks - Diversified,0.843,172.45,5.68,1410526,Toronto Stock Exchange,TSX,CA,False
GFACX,American Funds The Growth Fund of America,243285295068.0,Financial Services,Asset Management,1.11,68.72,0.0,0,NASDAQ,NASDAQ,US,True
FIYY,Barclays ETN+ FI Enhanced Global High Yield ETN B,241841962935.0,,,0.0,103.263,0.0,1094,New York Stock Exchange Arca,AMEX,,False
BABA,Alibaba Group Holding Limited,240767061233.0,Consumer Cyclical,Specialty Retail,0.341,100.53,2.0,7096367,New York Stock Exchange,NYSE,CN,False
AZN,AstraZeneca PLC,240682522500.0,Healthcare,Drug Manufacturers - General,0.166,77.625,1.49,1331276,NASDAQ Global Select,NASDAQ,GB,False
PEP,"PepsiCo, Inc.",240647046000.0,Consumer Defensive,Beverages - Non-Alcoholic,0.539,175.4,5.42,2881673,NASDAQ Global Select,NASDAQ,US,False
RLBGX,American Funds American Balanced Fund Class R-6,237681016824.0,Financial Services,Asset Management,0.9400000000000001,36.63,0.889,0,NASDAQ,NASDAQ,,True
CLBAX,American Funds American Balanced 529A,237681016823.0,,,0.9400000000000001,36.53,0.773,0,Nasdaq,NASDAQ,,True
AFMBX,American Funds American Balanced Fund,237681016820.0,Financial Services,Asset Management,0.9400000000000001,36.6,0.751,0,NASDAQ,NASDAQ,,True
ABALX,American Funds American Balanced Fund Class A,237681016816.0,Financial Services,Asset Management,0.9400000000000001,36.61,0.675,0,NASDAQ,NASDAQ,US,True
BALFX,"American Funds American Balanced Fund, Class F-1 Shs",237681016809.0,Financial Services,Asset Management,0.9400000000000001,36.58,0.766,0,NASDAQ,NASDAQ,,True
AMBFX,American Balanced Fund Class F-2 Shs,237681016809.0,Financial Services,Asset Management,0.9400000000000001,36.58,0.854,0,NASDAQ,NASDAQ,,True
ACN,Accenture plc,235108318560.0,Technology,Information Technology Services,1.239,376.26,5.92,729807,New York Stock Exchange,NYSE,IE,False
LIN,Linde plc,230836887775.0,Basic Materials,Chemicals - Specialty,0.9440000000000001,483.425,5.5600000000000005,459958,NASDAQ Global Select,NASDAQ,GB,False
CIS.BR,"Cisco Systems, Inc.",228207362036.0,Technology,Communication Equipment,0.954356,53.06,1.56,1,Brussels,EURONEXT,US,False
TM,Toyota Motor Corporation,227676356885.0,Consumer Cyclical,Auto - Manufacturers,0.434,169.03,4.01,288586,New York Stock Exchange,NYSE,JP,False
TMO,Thermo Fisher Scientific Inc.,227062242360.0,Healthcare,Medical - Diagnostics & Research,0.777,594.41,1.56,362653,New York Stock Exchange,NYSE,US,False
NVS,Novartis AG,227030662593.0,Healthcare,Drug Manufacturers - General,0.498,116.04,3.7800000000000002,322435,New York Stock Exchange,NYSE,CH,False
VERIZ.BR,Verizon Communications Inc.,227018156544.0,Communication Services,Telecommunications Services,0.328492,54.0,2.46,500,Brussels,EURONEXT,US,False
CSCO,"Cisco Systems, Inc.",226832694127.0,Technology,Communication Equipment,0.8220000000000001,56.8399,1.6,4982438,NASDAQ Global Select,NASDAQ,US,False
MCD,McDonald's Corporation,226199768190.0,Consumer Cyclical,Restaurants,0.726,315.33,7.08,1102995,New York Stock Exchange,NYSE,US,False
ADBE,Adobe Inc.,218603320000.0,Technology,Software - Infrastructure,1.289,496.6,0.0,796109,NASDAQ Global Select,NASDAQ,US,False
WFC,Wells Fargo & Company,217875317700.0,Financial Services,Banks - Diversified,1.159,64.01,1.6,9100101,New York Stock Exchange,NYSE,US,False
RMS.PA,Hermès International Société en commandite par actions,216372473372.0,Consumer Cyclical,Luxury Goods,0.706,2066.0,15.0,46939,Paris,EURONEXT,FR,False
VEMRX,Vanguard Emerging Mkts Stock Idx InsPlus,214440968168.0,,,0.86,100.55,2.26,0,Nasdaq,NASDAQ,,True
VEMPX,Vanguard Extended Market Index InstlPlus,213756395375.0,,,1.11,351.58,2.328999999999999,0,NASDAQ,NASDAQ,,True
IBM,International Business Machines Corporation,212952192132.0,Technology,Information Technology Services,0.6970000000000001,231.1813,6.68,1348361,New York Stock Exchange,NYSE,US,False
FFEU,Barclays ETN+ FI Enhanced Europe 50 ETN Series C,212775878565.0,,,0.0,90.8522,0.0,327,New York Stock Exchange Arca,AMEX,,False
VB,Vanguard Small Cap Index Fund,211680716641.0,Financial Services,Asset Management,1.07,239.605,3.305099999999999,281697,New York Stock Exchange Arca,AMEX,US,True
GE,General Electric Company,209163290569.0,Industrials,Aerospace & Defense,1.181,192.8999,1.12,2462187,New York Stock Exchange,NYSE,US,False
SHEL,Shell plc,209052848250.0,Energy,Oil & Gas Integrated,0.506,67.05,2.75,2348673,New York Stock Exchange,NYSE,GB,False
RY-PZ.TO,Royal Bank of Canada,208618588225.0,Financial Services,Banks - Diversified,0.8320000000000001,25.0,0.925,448,Toronto Stock Exchange,TSX,CA,False
VTMGX,Vanguard Developed Markets Index Admiral,206981562362.0,,,1.09,16.64,0.433,0,NASDAQ,NASDAQ,,True
VTMNX,Vanguard Developed Markets Index Fund Institutional Shares,206981562352.0,Financial Services,Asset Management,1.09,16.67,0.436,0,NASDAQ,NASDAQ,US,True
MER-PK,Merrill Lynch Capital Trust I GTD CAP 6.45%,206476379280.0,,,0.0,26.1432,0.0,18628,New York Stock Exchange,NYSE,,True
VEA,Vanguard Developed Markets Index Fund,204763017458.0,Financial Services,Asset Management,1.09,51.2151,1.5013,3714528,New York Stock Exchange Arca,AMEX,US,True
ABT,Abbott Laboratories,203724891000.0,Healthcare,Medical - Devices,0.722,117.09,2.2,4210139,New York Stock Exchange,NYSE,US,False
DHR,Danaher Corporation,196156661865.0,Healthcare,Medical - Diagnostics & Research,0.862,271.605,1.08,1081493,New York Stock Exchange,NYSE,US,False
QQQ,Invesco QQQ Trust,194415465022.0,Financial Services,Asset Management,1.18,494.57,3.035909999999999,19316700,NASDAQ Global Market,NASDAQ,US,False
OR.PA,L'Oréal S.A.,194089596100.0,Consumer Defensive,Household & Personal Products,0.711,363.7,6.6,291564,Paris,EURONEXT,FR,False
SHELL.AS,Shell plc,192621699700.0,Energy,Oil & Gas Integrated,0.506,30.89,1.23,4685391,Amsterdam,EURONEXT,GB,False
AXP,American Express Company,191836048640.0,Financial Services,Financial - Credit Services,1.213,269.845,2.8,2395943,New York Stock Exchange,NYSE,US,False
MS,Morgan Stanley,191198694800.0,Financial Services,Financial - Capital Markets,1.3559999999999999,118.18,3.7,3407003,New York Stock Exchange,NYSE,US,False
CAT,Caterpillar Inc.,189202350620.0,Industrials,Agricultural - Machinery,1.093,390.19,5.64,1026262,New York Stock Exchange,NYSE,US,False
NOW,"ServiceNow, Inc.",187989420000.0,Technology,Software - Application,0.988,912.57,0.0,642372,New York Stock Exchange,NYSE,US,False
QCOM,QUALCOMM Incorporated,186567150000.0,Technology,Semiconductors,1.282,167.475,3.4,3775990,NASDAQ Global Select,NASDAQ,US,False
PM,Philip Morris International Inc.,185487640000.0,Consumer Defensive,Tobacco,0.5760000000000001,119.3,5.4,1496480,New York Stock Exchange,NYSE,US,False
